,text,Username,Timestamp,location
65,@sasaibrulj @usko_dusko Za sada je pronađen pub koji je neki centar takvog života navijača za vrjeme utakmice. I be… https://t.co/rjMxG2BCNb,stree_ka,Sun Jan 26 11:03:55 +0000 2020,Bosnia and Herzegovina
66," .
من #بغداد 
مسيرة الطلبة
———
Little while ago #Baghdad #Iraq
Students' strike continues

#IraqiRevolution #IraqProtests http…",Abdo_Ahmed_soli,Sun Jan 26 11:03:56 +0000 2020,"Aswan, Egypt"
67," #JeffBezosLiar
Attempted attack on His Highness the Crown Prince of the Kingdom exposed and can not be believed
@AJArabic
@…",h330_a,Sun Jan 26 11:03:56 +0000 2020,None
68,"@pasazot @DozloVreme kako?tako što sve vreme radiš za SNS iako to javno negiraš,a odaje te 90% javnog aktivizma nev… https://t.co/OlXPprYWfH",Vuck0je,Sun Jan 26 11:03:56 +0000 2020,somewhere
69," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",ameliawillys,Sun Jan 26 11:03:56 +0000 2020,None
70," ALERT! 

Muslim Public Affairs Council (MPAC) ""Hollywood division"" is working with studios to alter the way Islam is portrayed…",Neurs4You,Sun Jan 26 11:03:56 +0000 2020,"Cincinnati, Ohio, USA"
71,"Don't know what to pick? Go with Shaco the Demon Jester.

Attack: ⚔⚔⚔⚔⚔⚔⚔⚔
Defense: 🛡🛡🛡🛡
Magic: 🔥🔥🔥🔥🔥🔥
Difficulty:… https://t.co/iSTttOXqTW",what_pick,Sun Jan 26 11:03:57 +0000 2020,Summoners Rift
72," 200121 SB19: School Attack at PUP

Tunnel vision not found 😌

#SB19atPUPMNL
#SB19_JUSTIN
@SB19Official #SB19 https://t.c…",_exocoetidae,Sun Jan 26 11:03:57 +0000 2020,None
73, WAS SHOOTING HIS MOTHER NOT ENOUGH https://t.co/UyweyWYYIE,PVBuk,Sun Jan 26 11:03:57 +0000 2020,PVB/Stevie/He/Him • Medway
74, She is just stating in new words the original Islamist plan in India after 1947. Those who voted for Pakistan suddenly swore…,ekcupcoffee1,Sun Jan 26 11:03:58 +0000 2020,India
75, Be warned - BJP gangs are on the prowl. I got a home visit this morning. They wanted to 'explain the CAA'. Unfortunately they…,Waleed34570204,Sun Jan 26 11:03:58 +0000 2020,"Pluto, Indian occupied kashmir"
76," This day in 1945, SSG Audie Murphy repelled an German attack all by himself, killing/wounding 50 German soldiers with a machin…",yxngnylund,Sun Jan 26 11:03:58 +0000 2020,circulo trigonometrico
77, It trickles down. The US ambassador to Germany also spends his time trolling &amp; attacking journalists.,jackhutton,Sun Jan 26 11:03:58 +0000 2020,"iPhone: 37.776634,-122.407928"
78, #ad #werbung #blackivygermany #shooting  thanks to #marylipstick for the makeup ❤  #outfit by my friend #lola_gloss ❤…,MissVampirya,Sun Jan 26 11:03:58 +0000 2020,None
79," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",rhmtlIsna97,Sun Jan 26 11:03:58 +0000 2020,"Blitar, Jawa Timur. Indonesia"
80, She is just stating in new words the original Islamist plan in India after 1947. Those who voted for Pakistan suddenly swore…,Atheistsammy,Sun Jan 26 11:03:58 +0000 2020,India
81," [BLINK  ATTACK]

Show some support by completing the SECOND ROUND! 

#KillThisLove #BestMusicVideo #iHeartAwards @ygoffi…",chaelisasbish,Sun Jan 26 11:03:58 +0000 2020,BLΛƆKPIИK
82,"The way he puts his head between her arms and her face to stop her harming herself... i can’t even. I love animals,… https://t.co/m5kgyRuT2U",hkewy,Sun Jan 26 11:03:58 +0000 2020,London 
83,"@MitchlessAng I was day dreaming this song to be the next single in my car the other day, and yes, I did nearly crash.",sammy_Jak,Sun Jan 26 11:03:58 +0000 2020,"England, United Kingdom"
84,@haruki_zaemon Best fun I had was making a fake ASCII art login screen as a phishing attack on the school teacher’s… https://t.co/nbXeQyg5fr,dcotterill,Sun Jan 26 11:03:59 +0000 2020,Sydney
85," Kirja-arvio teoksessa, jossa pohditaan ideogisen fanaattisuuden alkuperää ja väkivallan moraalisuutta #väkivalta #ideo…",EerolaSami,Sun Jan 26 11:03:59 +0000 2020,None
86,HEART ATTACK https://t.co/o54buihH4c,tyronthirlwards,Sun Jan 26 11:03:59 +0000 2020,8.25.19
87,Terror attack in Kashmir foiled .,ItsAStrangeOld1,Sun Jan 26 11:03:59 +0000 2020,None
88,Who is stopping this preacher from moving to her loving place! Be aware Dear Nationalistic people of Bharat!,sukeshchandersh,Sun Jan 26 11:03:56 +0000 2020,"Punjab, India"
89," The US Navy will name a new aircraft carrier after Doris ""Dorie"" Miller, a decorated World War II veteran who defended Pearl Harbo…",YWN85,Sun Jan 26 11:03:57 +0000 2020,Ubiquitous 
90, Everytime there is a government push against protesters in Nasriya a large human waves comes out of nowhere and rushes…,Jiminisheartu,Sun Jan 26 11:03:59 +0000 2020,Germany
91, But when it's time to go to Court now you will start acting like a Cripple that had Heart Attack lmfao.,deeksa88,Sun Jan 26 11:03:59 +0000 2020,None
92,Truth coming whole world know that now @CNN @BBCWorld #ShaheenBaghTruth #ShaheenBaghProtest #Islamophobia #Islam=te… https://t.co/S1Zwb7MIRa,NaveenBindal7,Sun Jan 26 11:03:59 +0000 2020,"New Delhi, India"
93,@gucamolenibba @alebrelle Do you know the difference between a homocide - which is just a person killing another pe… https://t.co/gFqtIuZPR1,BrainsAreOnFire,Sun Jan 26 11:03:59 +0000 2020,Pennsylvania
94," We just had someone arrested for coming onto the state park,  crossing a “no motorized vehicle” boundary and taking aim at ou…",JIFlagg2,Sun Jan 26 11:03:59 +0000 2020,None
95, There are people claiming to be “pro-women” who use fascist phrases like “gender ideology” to lobby against trans rights. Fa…,alyoshahume,Sun Jan 26 11:03:59 +0000 2020,Alyosha#1880
96,😭😭sad indeed,LeratoMorule7,Sun Jan 26 11:04:00 +0000 2020,"Klerksdorp, South Africa"
97," #العراق_ينتفض

This criminal ... from Muqtada's group, is shooting protesters in Basra today. https://t.co/eI4bLZlpPb",Haleem62963029,Sun Jan 26 11:04:00 +0000 2020,None
98,"Yahan 'dactors' ne apni dactri shuri kr di ha.. bnda kenu roye te kenu pittey.. 😂😂😂😂😂
#MerePaasTumHo",Al_muhandus,Sun Jan 26 11:04:00 +0000 2020,Ecstasy
99,@hinaparvezbutt Wo bechara 1 attack pe mr gya kuch mareez aisy b hn jin ko weekly kai attack hoty thy mgr phir b zinda hn .. koi shram?,MALIKQA08838988,Sun Jan 26 11:04:01 +0000 2020,None
100," Born #OTD in 1945, David Purley.

Purley is best known for his bravery trying to save the life of Roger Williamson - in whi…",JunaidSamodien_,Sun Jan 26 11:04:01 +0000 2020,The WORLD of MOTORSPORT
101,this nearly gave me a heart attack 😭 https://t.co/0fsb3aptpb,yourboywithluv,Sun Jan 26 11:04:01 +0000 2020,"nasa bahay, baket? "
102, interesting choice of words 🥴,jkfig,Sun Jan 26 11:04:01 +0000 2020,London and Bucks
103, Plse watch &amp; RT. What about all the young girls who have been groomed &amp; raped? Why have the Muslims made it about them a…,2016Ivotedleave,Sun Jan 26 11:04:01 +0000 2020,None
104," Some part of the alphabets have been destroyed in a terrorist attack against Islam. 

Till now, it's not known which alp…",tz_frank_lyn,Sun Jan 26 11:04:01 +0000 2020,"Lagos, Nigeria"
105," ALERT! 

Muslim Public Affairs Council (MPAC) ""Hollywood division"" is working with studios to alter the way Islam is portrayed…",KerseyTony,Sun Jan 26 11:04:01 +0000 2020,DIXIE
106," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",Perry1238,Sun Jan 26 11:04:01 +0000 2020,Everywhere 
107,Mystery as Anonymous Seller Puts up for Auction JFK Assassination Docs: https://t.co/y8rqWyoxBb via @SputnikInt,nanotechexec,Sun Jan 26 11:04:01 +0000 2020,Switzerland and Czech Republic
108," The US Navy will name a new aircraft carrier after Doris ""Dorie"" Miller, a decorated World War II veteran who defended Pearl Harbo…",RalphRaynor1,Sun Jan 26 11:04:02 +0000 2020,Stevenage
109, In retrospect at Nuremberg the German Generals agreed that by failing to attack in the West during the Polish campaign t…,PParzival,Sun Jan 26 11:04:02 +0000 2020,Berlin
110," Berkali-kali nonton video ini, masih selalu kagum sama ide dan eksekusinya yang rapi banget.

Dan, ya goks banget lah bisa ng…",paitpaitmanis,Sun Jan 26 11:04:02 +0000 2020,Indonesia
111," If BBI Is meant to Unite Kenyans,it Should Unite Kenyans. Joho has sent Goons To Attack @MohaJichoPevu  and Hon Aisha…",WilliamNdichu2,Sun Jan 26 11:04:02 +0000 2020,"Kiambu, Kenya"
112," Watch the heartwarming moment this autism service dog helps their owner through a panic attack. ❤️
Full story: https://t.c…",PPTWoo,Sun Jan 26 11:04:02 +0000 2020,"bkk , Thailand"
113, Bojack from Dragon Ball Z would be a blast to play as in Super Smash Bros Ultimate! https://t.co/2FWVxusZkp,expergisceris,Sun Jan 26 11:04:03 +0000 2020,in my baby’s arms
114," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",alipazli,Sun Jan 26 11:04:03 +0000 2020,"Kota Kinabalu, Sabah"
115," رشته توییت / 
فردی که در تصویر میبینید در تظاهراتی که توسط ج.ا ایران علیه حضور ایالات متحده در عراق برنامه ریزی شده بود…",majidhossaini,Sun Jan 26 11:04:03 +0000 2020,"Stockholm, Sverige"
116, Je crois que j’ai rarement vu un shooting aussi incroyable,Odile78,Sun Jan 26 11:04:03 +0000 2020,"Paris, France"
117,Crypto Panic: WOW! THIS BITCOIN SUPPORT MUST HOLD!!! Otherwise Expect HUGE BTC CRASH!! https://t.co/zsBFZbLzWy 🙋 1X… https://t.co/Km66vIGPH8,CryptoTraderPro,Sun Jan 26 11:04:03 +0000 2020,🌐
118," New girl ko next door just chased a Chicken until it stoped and died on its own, they gonna eat a chicken that died from a h…",MicLarry2,Sun Jan 26 11:04:04 +0000 2020,"Gauteng, South Africa"
119, Largest Veterans organization demands apology after Trump said traumatic brain injuries from Iranian attack are 'not very…,Vi44,Sun Jan 26 11:04:04 +0000 2020,"Florida, USA"
120," Over 35k people have said YES. Same no’s on other SM platforms. 

Give me ONE LAC no. of ‘Yes’ and I’ll take it to all…",amitfromgzb,Sun Jan 26 11:04:04 +0000 2020,India
121,finally gave in to temptation and started watching crash landing on you...ri jeonghyeok 🥰🥰🥰🥰,kohakukuku,Sun Jan 26 11:04:04 +0000 2020,Singapore→大阪
122,ふと、不躾さide○が去来する もし,boropeanut,Sun Jan 26 11:04:04 +0000 2020,None
123, This is video of the day. BJP कार्यकर्ता एलिज़ाबेथ शेषाद्री को #CAA के समर्थन में समझाने गए थे .... आगे क्या हुआ देखिए... @…,moon_mohi,Sun Jan 26 11:04:04 +0000 2020,United Arab Emirates
124," #JeffBezosLiar
Attempted attack on His Highness the Crown Prince of the Kingdom exposed and can not be believed
@AJArabic
@…",Mosa23916630,Sun Jan 26 11:04:04 +0000 2020,"الرياض, المملكة العربية السعودية"
125,Ide teraz na obiad do koleżanki i mam nadzieje że tam też będę sie dobrze czuła,xrose_daggerx,Sun Jan 26 11:04:04 +0000 2020,"Stockholm, Sverige"
126,ah gusto na kaayo ko motan aw ani!!!!,kristelcaranto,Sun Jan 26 11:04:04 +0000 2020,Olympus
127," Unlike you Mr Kanwal, millions of Muslims,Dalits and Adivasis do not have the privilege of ignoring ‘whatever kind of journ…",ejazsiddiqui94,Sun Jan 26 11:04:04 +0000 2020,None
128, Je crois que j’ai rarement vu un shooting aussi incroyable,barbarafg5,Sun Jan 26 11:04:05 +0000 2020,"Brest, France"
129," If you are also against Islamist #ShaheenBagh protest of #UrbanNaxals just say ‘Yes’ in replies. 

I will send the thre…",vintrai,Sun Jan 26 11:04:05 +0000 2020,None
130, Je crois que j’ai rarement vu un shooting aussi incroyable,maesvie,Sun Jan 26 11:04:05 +0000 2020,"Istanbul, Turquie"
131,@BigFour14 @BullsGotNext Boston is the best shooting team in the conference &amp; they have the best group of wing play… https://t.co/q8sqEudz8S,T_Cook1211,Sun Jan 26 11:04:05 +0000 2020,"San Antonio, TX"
132, Maria Abdullkader Hawas is Sunni girl who joined Islamic state for sex Jihad according to Imam’s fatwa who said that Sun…,Ezidi2,Sun Jan 26 11:04:05 +0000 2020,❤️ Lalish ❤️
133, Everytime there is a government push against protesters in Nasriya a large human waves comes out of nowhere and rushes…,neema_hussain,Sun Jan 26 11:04:05 +0000 2020,None
134," The US Navy will name a new aircraft carrier after Doris ""Dorie"" Miller, a decorated World War II veteran who defended Pearl Harbo…",nekathobbs_79,Sun Jan 26 11:04:05 +0000 2020,Southern Region
135," Muhammad was a rapist.
So islam accommodates rapists.

Erdogan is an islamist.
So Turkey will accommodate rapists. 

D…",BartKoopman3,Sun Jan 26 11:04:05 +0000 2020,None
136, SHET! I love this kind of spoiler ❤💍 Did RiRi couple got married in Skorea? Or Hyun Bin forgot to remove his wedding rin…,faey_lyn,Sun Jan 26 11:04:05 +0000 2020,None
137, She is just stating in new words the original Islamist plan in India after 1947. Those who voted for Pakistan suddenly swore…,om_sastra,Sun Jan 26 11:04:06 +0000 2020,None
138, Whatever happened to the Awan brothers? Here is a reminder that the Obama administration was funding Hezbollah thru these…,the_badpuss,Sun Jan 26 11:04:06 +0000 2020,"Blackburn, England"
139," Paris Hilton se fait piéger. Elle croit vivre un véritable crash d'avion, regardez sa réaction. https://t.co/syz2nic3JT",JeuneSpi_Rituel,Sun Jan 26 11:04:06 +0000 2020,None
140,"A guy with little self respect would dig a hole and bury himself in ground, rahul shivshankar ji there's still some… https://t.co/sc7lrPob9P",BajpaiDeepak88,Sun Jan 26 11:04:06 +0000 2020,Bangalore
141," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",cocktaelles,Sun Jan 26 11:04:06 +0000 2020,None
142," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",barongsaile,Sun Jan 26 11:04:07 +0000 2020,None
143,"@CTNYLMZ Bir masada oturup solculuk oynayan 11 kişiden; birinin barış, eşitlik, kardeşlik söylemlerinin arkasındaki… https://t.co/BEWtY5jqYR",Ser_kan_73,Sun Jan 26 11:04:07 +0000 2020,"İstanbul, Türkiye"
144," venüs balık qualities

imkansız aşklara kapılma
her hissi içinde yaşama
bağımlılığa bağımlı olmak
swinger partyde tanıştığ…",rabiaakguen,Sun Jan 26 11:04:07 +0000 2020,None
145," 배우 아콰피나가 첫 영화 찍기 전 쓴 글이라고.('오션스8'인듯) 사람들 실망시키면 어쩌지, 두렵다 겁난다 이런 말들이 써 있다. 그래도 끝에선 괜찮아 다들 겁내,하고 자기감정을 수용하며 토닥토닥. 스스로를 행복하게…",MOofMOSAIC,Sun Jan 26 11:04:07 +0000 2020,None
146," Arshad Sami Khan, Pakistan Air Force Fighter Pilot who was given Bravery Award Sitara-e-Jurat for shooting down various…",ranjitsirvashi,Sun Jan 26 11:04:07 +0000 2020,None
147, Respect @Nidhi @rahulkanwal @sardanarohit,afaque_n,Sun Jan 26 11:04:08 +0000 2020,None
148," 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…",misshaemin,Sun Jan 26 11:04:08 +0000 2020,GOT7 
149," Prithviraj Chauhan lost to Ghori due to his ethics that,

- never attack armless enemy
- never chase defeated enemy 
-…",glad_avengers,Sun Jan 26 11:04:08 +0000 2020,India
150, thinking about how they had irene say unnie here... we are fucking under attack https://t.co/avlbAvFoz6,blobfishs,Sun Jan 26 11:04:08 +0000 2020,None
151,@Nauman2014 @DawoodA21590201 @KhanSaeedkh3399 @MrsAshraf14 35 laah afghani ko shaheed karwa k america ko musharraf… https://t.co/TNu7zvqq5H,DawranKhan11,Sun Jan 26 11:04:08 +0000 2020,None
152," Africa's Cancer of Betrayal: 
President Barack Obama upon Assassination of Muammar Gaddafi claimed: ""marks the end of a…",lchiits,Sun Jan 26 11:04:08 +0000 2020,World Citizen based in Africa.
153," Watch the heartwarming moment this autism service dog helps their owner through a panic attack. ❤️
Full story: https://t.c…",Ami_sarunchana,Sun Jan 26 11:04:09 +0000 2020,None
